ResponseID,Interface,Webam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocationCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,AvgWork,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,AvgPersonal,chatting with a friend.,focusing on the document person A is talking about.,AvgMeeting,looking at a document for another project.,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,VCExperience,LocationLatitude,LocationLongitude
R_2dhGsLu6zEqWbfq,bigsmall,switch,100.47.97.100,9/14/2015 18:23,9/14/2015 18:27,5843happy,Chrome,45.0.2454.85,Windows NT 10.0,1024x768,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",22.509,22.509,72.683,1,2.536,12.05,18.011,4,1,,1,,,1,,talking,listening,4.165,15.781,17.139,6,4,4,3,3,4,4,7.71,16.084,16.848,3,4,4,3,3.505,25.563,26.058,13,4,3,2,,4,3,2,,2,3,,3,11.7,25.02,25.911,2,not obvious,2,2.155,9.238,9.992,6,1,5,1,27.95779419,-82.46219635
R_21dIk76Pvl6SnlO,bigsmall,switch,67.213.218.74,9/14/2015 18:32,9/14/2015 18:38,5183happy,Firefox,40,Windows NT 10.0,1366x768,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,54.494,88.309,89.758,2,2.227,34.291,48.166,7,1,,1,,,1,,She was just seeing the screen and talking,She was talking about what the person B have to do,11.039,16.975,17.975,6,4,4,5,3,4,3,17.494,18.614,19.224,3,3,4,2,9.404,20.747,21.636,10,4,3,2,,4,3,2,,3,4,,4,10.443,23.715,24.8,2,Too obvious,2,0.938,8.325,9.476,4,1,2,6,45.52340698,-122.6762009
R_3g4TMJmHD2lrvhA,bigsmall,switch,47.21.152.61,9/14/2015 18:48,9/14/2015 18:52,8568happy,Chrome,45.0.2454.85,Windows NT 6.1,1360x765,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,73.224,0,4.066,40.45,40.949,5,1,,1,,1,,,Person A was giving her instructions to person B,"Person B was listening, and then looked into a different monitor before switching back.",3.057,12.08,12.874,6,4,4,3,3,4,4,10.848,14.051,15.124,3,3,4,4,6.766,18.947,19.93,9,4,3,3,,4,4,3,,3,4,,4,5.757,17.754,19.093,2,Very obvious when the switch happened.,2,1.534,7.398,9.248,3,1,4,3,40.67689514,-74.21549988
R_1H5d9qHXyUKXNdH,bigsmall,switch,71.168.144.82,9/14/2015 19:30,9/14/2015 19:39,8572happy,Chrome,45.0.2454.85,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",28.043,51.889,141.284,4,3.955,33.544,37.248,5,1,,1,,1,,,"Staring, disinterested, eyes moving, fidgeting","Intent, serious, not moving",22.753,46.792,47.547,8,3,3,5,4,5,2,24.447,29.381,29.835,3,4,2,4,4.464,16.344,17.017,10,1,4,5,,3,2,2,,4,1,,4,12.017,28.927,29.558,3,It was obvious because the screen switched and the angles were different,3,10.497,32.338,33.587,3,2,3,2,39.82400513,-75.13179779
R_2Sph9jolsBvWYEi,bigsmall,switch,104.131.28.119,9/14/2015 19:45,9/14/2015 19:49,9603happy,Chrome,47.0.2508.0,Windows NT 6.3,1280x800,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2508.0 Safari/537.36",0,0,86.442,0,1.534,15.622,18.612,7,1,,1,,1,,,talk,hear,11.094,17.968,20.538,9,3,3,4,3,4,3,3.306,10.977,12.186,5,3,3,3,4.156,10.524,12.076,10,4,4,4,,4,4,4,,4,4,,4,29.761,41.304,42.623,5,very obvious ,3,2.358,22.142,23.407,4,1,2,4,40.71429443,-74.0059967
R_3EEfI3AEr7bnVWI,bigsmall,switch,184.23.210.44,9/14/2015 19:54,9/14/2015 19:59,7153happy,Firefox,40,Macintosh,1280x800,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,140.805,0,8.363,45.935,46.407,7,1,,1,,1,,,"Staring straight ahead at screen the whole time, talking","Staring at screen, nodding, brief vocalizations of confirmation, switching between two different monitors/screen angles.",3.314,17.658,18.675,6,4,4,3,1,5,4,10.346,19.013,20.181,5,3,3,1,6.304,20.555,21.481,10,4,4,4,,4,4,2,,2,4,,4,7.587,31.614,34.049,2,"It was very obvious! Change of angle, change of perspective. I thought person B manually switched her cameras though.",2,1.194,8.317,10.193,3,2,4,2,37.86720276,-122.2568054
R_3sdiGfkDvTOq6cQ,bigsmall,switch,54.174.77.195,9/14/2015 21:04,9/14/2015 21:07,2530happy,Chrome,45.0.2454.85,Windows NT 6.0,1776x1000,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",33.101,33.101,71.388,1,5.621,13.952,32.378,4,1,,1,,1,,,talking into a cam,acting liike they were immersed in conversation,3.343,16.548,17.246,7,3,3,4,3,5,2,12.837,18.077,19.029,3,3,3,4,5.716,25.447,26.896,10,4,4,4,,4,3,5,,2,5,,3,6.938,15.246,16.628,2,the cams were at diferent levels,2,1.285,7.006,8.473,3,2,3,2,39.04370117,-77.48750305
R_3QE4gXMXHcwXHd0,bigsmall,switch,73.15.150.221,9/14/2015 21:06,9/14/2015 21:13,2538happy,Chrome,45.0.2454.85,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",4.401,87.579,89.376,3,4.499,24.594,64.929,5,1,1,,,1,,,Describes locations to Person B,Listening to Person A,6.212,26.156,28.525,7,5,5,1,1,5,5,12.414,21.117,23.264,5,5,5,5,7.046,37.513,39.886,12,1,1,1,,5,1,1,,1,5,,1,18.609,55.636,58.286,2,It is not obvious and less chances for it.,1,2.75,17.317,19.37,5,1,5,7,37.42500305,-121.9459991
R_ZqSIBwJ98K8SSbL,bigsmall,switch,66.85.148.53,9/14/2015 22:17,9/14/2015 22:22,1978happy,Firefox,40,Linux i686,1280x800,Mozilla/5.0 (X11; Linux i686; rv:40.0) Gecko/20100101 Firefox/40.0,5.171,18.058,75.017,3,2.47,9.939,46.187,6,1,,1,,1,,,Person A was talking about marketing campaign to Person B,Person B was listening to Person A while she was doing another stuff at the same time,7.262,20.463,21.315,9,4,4,5,5,5,2,3.254,9.398,10.697,3,2,4,4,4.222,44.408,46.232,10,2,4,1,,5,4,4,,4,4,,4,12.073,37.633,38.835,4,Yes it was obvious because of the sudden angle shift of the camera,2,1.407,7.402,9.271,3,1,2,1,33.43569946,-111.917099
R_3rXVrHlfdH72Zvb,bigsmall,switch,66.171.228.133,9/14/2015 22:27,9/14/2015 22:35,3873happy,Chrome,45.0.2454.85,Windows NT 10.0,1440x900,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,75.922,0,8.384,24.033,134.344,3,1,1,1,,,,,talking with the other person,just wach other person talking,34.872,37.972,38.938,7,3,4,3,4,4,3,13.238,14.223,14.897,3,4,3,4,20.569,24.081,24.889,9,4,3,4,,4,3,3,,4,4,,4,3.207,58.099,58.843,3,she see others screen,2,1.249,8.394,9.5,4,1,2,3,33.84030151,-118.3538971
