ResponseID,Interface,Webam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocationCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,AvgWork,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,AvgPersonal,chatting with a friend.,focusing on the document person A is talking about.,AvgMeeting,looking at a document for another project.,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,VCExperience,LocationLatitude,LocationLongitude
R_3NyP3DzjyrUIPPv,bigsmall,switch,97.121.81.170,9/23/2015 0:12,9/23/2015 0:20,4020happy,Chrome,45.0.2454.93,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",5.695,270.87,271.934,3,7.975,39.169,66.226,10,1,,1,,1,,,Explaining the project to person B,Looking at another screen while person A was talking,3.785,11.127,14.103,6,4,4,5,5,5,5,6.17,11.033,11.887,3,3,5,4,5.381,23.677,25.262,10,4,1,1,,4,3,1,,1,5,,1,7.766,21.744,22.875,3,The angle changed,2,1.484,7.916,8.634,6,2,2,2,41.4803009,-96.47280121
R_8JvLShYc1XrMkct,bigsmall,switch,207.244.77.3,9/22/2015 23:47,9/23/2015 0:21,8020happy,Firefox,40,Windows NT 6.1,1024x600,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,,,,,1.725,10.015,28.027,5,1,,1,1,,,,happy,pretty,1524.596,1529.974,1531.627,6,3,4,3,4,3,4,2.13,3.271,6.325,3,3,4,3,37.502,47.938,49.236,10,4,4,4,,5,4,5,,5,4,,5,147.266,153.112,153.976,2,"peolple, work",4,11.327,20.939,22.785,4,1,2,5,38.79319763,-77.53659821
R_R2grN874RfLynUl,bigsmall,switch,70.106.142.94,9/23/2015 0:20,9/23/2015 0:23,5984happy,Chrome,45.0.2454.93,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",0,0,74.252,0,1.787,12.496,15.714,3,1,,,1,1,,,good,good,1.086,4.398,4.833,7,3,3,4,4,4,4,0.931,2.101,3.417,3,3,3,4,2.181,7.145,7.73,9,4,3,3,,3,4,4,,4,5,,5,1.778,11.257,12.673,5,good,2,1.048,7.377,9.238,3,1,2,4,38.2723999,-77.59320068
R_2wsJYkmxDn9humz,bigsmall,switch,72.234.75.237,9/23/2015 0:17,9/23/2015 0:27,3515happy,Chrome,45.0.2454.99,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",33.771,37.411,78.843,2,6.899,167.305,304.033,5,1,,1,,1,,,"at first, looking into camera as if physically sitting in front of person , and she answers person B with one word answers or nods her head. she then shifts her attention to a 2nd screen for a few seconds and then returns back to original state.","Person B is also looking into camera and speaking to person A ,like she was right in front of her. sshe also appears to look down at possibly notes, from time to time, but she tries to maintain eye contact",5.502,30.182,31.762,6,4,4,5,5,5,3,9.311,18.055,19.048,3,3,3,3,10.697,36.848,38.094,9,3,4,3,,3,4,3,,3,3,,3,45.498,45.498,46.871,1,it was very obvious since the angle of the shot taken was diferent,3,1.913,11.706,15.319,3,2,4,1,21.45700073,-158.1730042
R_w1dDtvDvfcq6L9D,bigsmall,switch,74.106.191.144,9/23/2015 0:33,9/23/2015 0:37,3325happy,Chrome,45.0.2454.93,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",0,0,71.386,0,1.769,21.498,29.947,5,1,,1,,1,,,talking to person b,talking to person a,1.945,4.309,5.318,6,4,4,4,4,4,4,1.831,3.734,4.626,3,3,4,4,4.578,18.742,20.298,9,2,2,2,,4,2,2,,2,4,,2,11.939,31.035,33.663,2,i didnt see it,2,1.37,5.512,6.991,3,2,4,3,42.10850525,-80.05000305
R_3rNGAjfkNMFsaD7,bigsmall,switch,107.217.186.64,9/23/2015 0:50,9/23/2015 0:57,9828happy,Firefox,41,Windows NT 6.3,1600x900,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,0,0,84.498,0,17.552,128.156,138.489,8,1,,1,,1,,,talking  slowly,"listening, looking tense and nervous and possibly bored.",8.768,23.844,31.909,8,4,4,3,3,4,4,22.645,31.606,34.529,4,4,4,2,10.001,28.859,33.966,9,4,4,4,,4,4,2,,2,4,,4,9.26,36.51,41.121,2,the angle switched so it was obvious,2,1.625,11.699,13.24,3,1,3,4,37.76069641,-122.4841995
R_poRmplr059Reybf,bigsmall,switch,216.185.58.102,9/23/2015 1:25,9/23/2015 1:29,5873happy,Firefox,40,Windows NT 6.1,1280x1024,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,74.096,0,0.989,3.909,16.151,8,,,,1,1,1,,rubia ojos azules,latina cabello negro,11.546,14.226,14.549,7,5,3,5,4,5,4,0.629,3.493,3.904,6,3,5,5,3.142,26.821,27.706,11,4,5,3,,2,4,5,,3,4,,3,2.74,8.316,11.846,6,Yeah ,6,0.961,4.169,4.937,3,1,2,2,39.96530151,-83.02349854
R_1M5J8HkyMLrOVg1,bigsmall,switch,96.28.220.110,9/23/2015 3:19,9/23/2015 3:23,9657happy,Chrome,45.0.2454.93,Windows NT 6.0,1280x1024,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",0,0,71.981,0,1.705,27.839,58.344,5,1,,1,,1,,,She was describing the possible locations for the different ads,She was listening and occasionally seemed to be looking at a map or info on the locations,5.005,20.114,21.257,7,4,4,2,2,5,4,4.385,9.417,10.162,3,4,4,4,4.494,19.766,21.169,10,5,1,1,,5,1,1,,1,5,,1,17.778,18.903,39.474,2,The angle of view seemed different,1,1.291,4.42,6.297,3,2,5,1,38.16090393,-85.78510284
R_3F3v4woJiGhmeL9,bigsmall,switch,23.27.248.243,9/23/2015 3:10,9/23/2015 3:30,5503happy,Chrome,45.0.2454.99,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",0,0,74.526,0,29.749,42.286,47.722,3,,1,,1,,1,,talk,listen,24.405,68.83,69.499,5,5,5,5,5,4,5,20.987,85.467,92.365,3,4,4,5,9.772,22.018,22.779,11,5,4,5,,5,4,5,,4,4,,4,6.649,15.701,16.471,2,listening,3,2.614,15.874,18.38,4,1,2,7,37.37210083,-121.8643036
R_4Njm67bOMuF1Lfr,bigsmall,switch,73.194.208.135,9/23/2015 3:25,9/23/2015 3:31,6425happy,Firefox,40,Windows NT 6.1,1366x768,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,114.675,0,16.194,43.483,70.477,5,1,,1,,1,,,Giving instructions to Person B,Listening and agreeing to instructions from Person A,4.045,18.763,19.861,6,5,5,2,1,5,5,18.289,27.194,28.863,3,4,5,4,6.007,31.932,34.834,9,3,2,2,,5,2,1,,1,4,,2,8.788,73.126,75.441,2,It was very obvious. It seemed like Person B looked at the camera before checking a monitor to follow what Person A was speaking of.,2,3.344,10.63,13.358,5,2,4,2,39.59959412,-74.36869812
R_1OYJnmumniPL9Ux,bigsmall,switch,76.233.246.34,9/23/2015 3:46,9/23/2015 3:51,1239happy,Chrome,45.0.2454.93,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",3.521,79.385,81.095,3,3.732,14.953,46.035,11,1,,1,,1,,,She was looking into the camera talking.,She just kept agreeing and had no other input.,9.581,24.133,25.465,7,2,2,4,3,5,2,10.737,17.705,18.786,3,2,2,3,5.859,35.614,36.997,14,2,4,3,,2,3,1,,1,2,,3,9.627,26.555,28.508,2,It was very obvious because the angle changed.,2,1.649,12.471,13.58,11,2,4,4,32.86729431,-97.24859619
R_D0imEXFtHvu3tDP,bigsmall,switch,76.233.246.34,9/23/2015 3:52,9/23/2015 3:56,8901happy,Chrome,45.0.2454.93,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",20.624,83.492,84.514,2,1.886,38.072,40.129,10,1,,1,,1,,,She was looking ahead and talking to person B.,She looked like she was doing multiple things.,3.344,19.313,20.413,6,2,2,4,4,5,2,4.609,17.495,18.758,3,1,2,4,5.734,27.085,28.277,15,2,4,3,,2,2,1,,1,2,,3,3.454,13.289,14.764,2,The angle of the picture changed.,2,1.466,8.233,9.619,6,2,4,4,32.86729431,-97.24859619
R_3OoAAxpwrOXgK6o,bigsmall,switch,98.220.187.219,9/23/2015 3:52,9/23/2015 4:00,8338happy,Chrome,45.0.2454.93,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",74.138,74.138,76.097,1,7.374,86.181,120.037,11,,1,1,,1,,,She was instructing person B.,She was reading the screen and following what the other person was saying.,7.889,24.785,26.078,7,5,5,5,5,5,5,16.127,24.379,25.738,3,4,5,5,6.097,45.449,46.826,18,4,2,2,,4,5,2,,1,5,,2,14.664,44.584,49.453,2,it wasnt super obvious ,2,2.042,18.657,20.895,4,2,3,1,40.0697937,-85.98169708
R_32Yhp0GYeSS2V6g,bigsmall,switch,98.113.94.61,9/23/2015 4:03,9/23/2015 4:09,7328happy,Chrome,43.0.2357.81,Windows NT 10.0,1680x945,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Dragon/43.3.3.185 Chrome/43.0.2357.81 Safari/537.36",0,0,86.33,0,2.804,25.94,51.665,5,1,,1,,1,,,she was explaining the location options,sh was looking at the locations on screen ,8.412,19.242,20.799,6,3,4,2,2,4,4,5.139,10.658,11.371,4,4,4,4,4.515,17.884,19.143,9,4,2,2,,4,2,2,,2,4,,2,10.897,13.721,57.261,2,"she turned to her left to the second monitor, then when done, she turned back to the first one.",2,1.208,8.448,11.068,3,1,4,4,40.69830322,-73.88800049
R_ZfwziqzFFpE2uYN,bigsmall,switch,107.204.185.88,9/23/2015 4:47,9/23/2015 4:53,7853happy,Chrome,45.0.2454.99,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",0,0,81.678,0,35.949,137.814,152.432,5,1,,1,,1,,,talking to person B about potential locations,responding to person a. checking her computer,3.445,11.337,12.051,6,5,5,4,3,4,4,5.032,6.216,6.851,3,4,4,4,4.719,18.989,21.137,11,4,2,2,,5,2,1,,1,5,,2,8.419,10.076,21.349,2,it wasn't really obvious to me,2,1.28,6.563,8.69,3,2,4,1,29.74490356,-95.73110199
R_3h6Bia4UOSxHvcw,bigsmall,switch,24.112.79.206,9/23/2015 5:18,9/23/2015 5:24,8581happy,Chrome,45.0.2454.99,Windows NT 5.1,1600x900,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",0,0,79.663,0,8.208,54.829,88.859,3,1,,1,,,1,,talking to the lady about billboards. She was finding a location,she was watching her monitor.  just was saying a few words.,6.703,28.363,31.425,6,4,4,3,2,5,5,8.747,20.382,21.633,3,5,5,4,7.234,32.377,34.42,9,4,2,2,,5,3,2,,1,5,,1,16.743,54.98,56.263,2,just the way the picture changed. She moved in her chair,1,2.328,11.559,14.007,3,1,6,7,36.47590637,-83.49839783
R_b7sTl5IVjvkVRMp,bigsmall,switch,24.199.25.118,9/23/2015 5:23,9/23/2015 5:28,5484happy,Chrome,45.0.2454.99,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",0,0,167.4,0,3.413,6.341,7.954,4,,1,,1,1,,,3,3,1.603,13.011,13.739,6,3,4,4,3,5,5,0.651,1.563,2.13,3,3,3,3,2.103,6.07,6.66,10,4,4,4,,3,4,4,,4,4,,4,0.863,2.446,3.32,2,3,2,1.119,5.382,6.147,4,1,3,2,33.78660583,-118.2986984
R_10OE7S8b5WmqBMb,bigsmall,switch,184.180.253.177,9/23/2015 5:26,9/23/2015 5:31,1071happy,Chrome,30.0.1599.101,Windows NT 6.1,1600x900,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.7.3000 Chrome/30.0.1599.101 Safari/537.36",35.097,35.097,72.088,1,35.27,43.638,62.911,5,1,,1,,1,1,,talking very softly,looking at what person a was telling her,26.465,43.322,44.2,6,5,5,1,1,5,5,10.321,20.249,21.067,3,1,5,2,12.271,37.149,38.071,9,5,1,1,,5,1,5,,1,5,,1,16.996,18.171,32.699,2,not very,2,1.135,9.623,10.44,3,2,4,5,35.36590576,-94.41259766
R_UW9QW5FnxaYEdt7,bigsmall,switch,108.59.10.153,9/23/2015 5:43,9/23/2015 5:46,4934happy,Chrome,45.0.2454.93,Windows NT 6.3,1440x900,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36",25.414,77.125,78.367,2,4.532,18.252,18.998,11,1,1,,1,,,,talking,talking,0.968,2.751,3.079,6,5,5,5,5,5,5,0.611,1.204,1.592,3,5,5,5,1.208,3.716,4.044,9,5,5,5,,5,5,5,,5,5,,5,1.12,2.47,2.837,3,talking,6,1.458,5.344,6.066,3,1,4,6,39.67340088,-75.7052002
R_2S7dedpSSZ9cwbK,bigsmall,switch,24.160.170.142,9/23/2015 6:22,9/23/2015 6:43,5005happy,Chrome,44.0.2403.130,Windows NT 6.1,1280x720,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36",27.204,27.204,163.469,1,48.758,529.845,555.979,25,1,,1,,1,,,"Talking into screen, asking for an opinion. ","active listening, um, yes, nodding head, looking into different screens.",17.298,68.219,71.075,9,5,5,5,5,5,5,22.66,39.069,40.252,3,5,4,4,193.399,239.203,242.287,9,3,2,2,,4,1,1,,1,4,,2,27.787,55.748,61.363,5,Very obvious,2,11.92,27.757,31.313,3,1,4,2,39.94270325,-82.88680267
R_0UN5vz66zZzCsE1,bigsmall,switch,67.61.199.70,9/23/2015 7:01,9/23/2015 7:05,8312happy,Chrome,45.0.2454.99,Windows NT 10.0,1920x1080,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",0,0,78.636,0,8.004,15.05,41.528,5,1,,1,,1,,,They were sitting in front of a camera talking,They were sitting in front of a camera and periodically switched angles,6.184,16.082,16.777,7,3,2,5,3,5,2,3.829,10.365,11.141,3,2,5,4,12.506,31.751,32.439,15,3,3,3,,4,3,1,,1,4,,2,6.547,14.828,15.555,3,really obvious,2,1.909,5.129,6.279,3,1,3,1,33.69650269,-85.68199921
R_29lVJg8d5eyFeaK,bigsmall,switch,50.153.166.146,9/23/2015 8:42,9/23/2015 8:46,6087happy,Chrome,45.0.2454.99,Windows NT 6.2,1366x768,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.99 Safari/537.36",0,0,73.247,0,2.453,15.621,23.429,5,1,,1,,1,,,talking,multitask,5.388,27.746,28.655,6,2,3,4,2,4,2,10.165,16.9,17.758,3,2,2,4,10.096,25.615,26.689,10,2,2,4,,2,2,2,,3,2,,2,9.693,17.247,18.483,2,very,2,1.174,5.718,7.129,3,2,4,4,33.897995,-84.5868988
R_XScDCBZ6s7lALtL,bigsmall,main,24.41.68.35,9/14/2015 16:37,9/14/2015 16:41,1825happy,Chrome,45.0.2454.85,Windows NT 10.0,1920x1080,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",54.444,54.444,121.584,1,3.468,34.802,52.51,5,1,,1,,1,,,"Did lots of talking and explaining, was looking at the screen the whole time","Said very little, looked away from the screen",10.644,22.984,24.035,9,1,1,4,4,5,1,6.048,14.141,15.225,3,1,1,3,5.432,25.072,26.744,11,1,4,4,,1,1,1,,4,1,,1,,,,,,,1.107,8.144,10.169,3,2,3,2,42.26229858,-72.50279999
R_1KkCgyhTS737Z09,bigsmall,main,207.244.72.200,9/14/2015 16:44,9/14/2015 16:56,3073happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,72.324,0,6.949,412.3,418.492,12,1,,1,,1,,,the person A talk much,Person B was distracted and did not speak much,3.209,49.905,54.854,8,2,2,5,5,5,1,10.64,24.591,25.525,4,2,1,4,6.845,38.012,40.765,12,4,4,5,,2,4,4,,4,2,,3,,,,,,,2.437,12.778,17.141,3,1,3,7,38.79319763,-77.53659821
R_CfAzy9pOdK3zrpL,bigsmall,main,67.248.115.74,9/14/2015 16:56,9/14/2015 17:01,1321happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",9.544,15.767,71.914,2,3.266,24.412,42.566,5,1,,1,,1,,,looking at the camera and talking,looking at a screen and reading something,14.619,27.353,28.835,6,3,3,4,4,4,3,11.181,19.491,20.488,4,3,3,4,6.889,26.343,27.208,9,2,4,3,,3,3,2,,2,2,,3,,,,,,,1.492,10.607,11.115,4,2,5,1,42.92860413,-74.71649933
R_2rHEg8lvc6glQLK,bigsmall,main,174.106.115.100,9/14/2015 17:05,9/14/2015 17:10,6346happy,Chrome,45.0.2454.85,Windows NT 10.0,1600x900,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,121.868,0,2.999,21.978,44.915,5,1,,1,,1,,,"Video conferencing, speaking to person B, sending pics of locations","Video conferencing, listening to person A, receiving and viewing pics of locations, possible multi-tasking",5.519,15.148,16.448,6,4,4,4,3,4,3,5.377,25.642,26.52,3,3,4,4,2.357,26.337,26.981,11,3,4,3,,4,4,2,,2,4,,3,,,,,,,1.309,9.754,10.792,4,1,4,7,35.05700684,-79.01470184
R_xhFWoYJsTwpZvXj,bigsmall,main,208.31.49.56,9/14/2015 17:06,9/14/2015 17:10,8443happy,MSIE,11,Windows NT 6.3,1360x768,Mozilla/5.0 (Windows NT 6.3; Trident/7.0; .NET4.0E; .NET4.0C; InfoPath.2; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; rv:11.0) like Gecko,21.422,26.208,76.779,2,5.063,62.398,90.466,8,1,,1,,1,,,speaking,paying attention,0.911,3.975,4.931,9,4,3,5,4,4,3,0.748,2.196,2.761,4,5,4,4,1.595,8.387,12.357,18,4,3,1,,2,4,4,,4,3,,4,,,,,,,0.941,7.478,7.866,4,1,2,7,40.71429443,-74.0059967
R_1ODiquB7xp3CJpD,bigsmall,main,173.245.65.10,9/14/2015 17:29,9/14/2015 17:34,3646happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x1024,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,78.855,0,2.182,102.547,103.472,7,1,,1,,1,,,discussing new ideas for the campaign,You are listening to the person who explains but was somewhat decentralized,4.395,47.519,50.453,14,3,3,4,3,5,3,8.635,16.435,18.083,3,2,2,4,4.76,38.136,38.927,12,2,4,2,,3,4,3,,3,2,,3,,,,,,,0.932,7.005,8.383,3,1,3,1,25.72669983,-80.2358017
R_1P5jP11N5aZcHzE,bigsmall,main,107.182.226.184,9/14/2015 17:51,9/14/2015 17:56,3805happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",27.108,27.108,78.557,1,32.156,58.226,84.043,3,1,1,,1,,,,speaking about the campain,"listening the first person, who speaking all the time.",3.414,6.47,8.092,6,2,3,3,3,4,3,1.345,2.457,3.103,3,2,3,3,6.267,38.661,39.828,10,3,3,3,,4,3,3,,3,2,,3,,,,,,,1.574,10.726,12.827,3,1,4,3,41.69290161,-111.8146973
R_1jpKUJHFd1fUPNE,bigsmall,main,162.223.94.29,9/14/2015 18:01,9/14/2015 18:13,4781happy,Chrome,45.0.2454.85,Windows NT 5.2,1364x768,"Mozilla/5.0 (Windows NT 5.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",9.806,9.806,141.368,1,0.434,443.241,443.992,14,1,,1,,1,,,She was describing 3 potential places they could show their ads,she was listing to person A and looking at her documents ,3.469,12.654,13.638,11,4,4,1,1,4,4,5.712,6.863,9.396,5,4,4,4,12.051,24.592,25.536,12,1,1,1,,5,1,1,,1,5,,1,,,,,,,3.299,11.115,12.545,4,2,3,2,39.7460022,-75.54660034
R_Uo2kUis1kJdchzP,bigsmall,main,46.143.117.125,9/14/2015 18:17,9/14/2015 18:31,8234happy,Firefox,34,Windows NT 5.1,1280x800,Mozilla/5.0 (Windows NT 5.1; rv:34.0) Gecko/20100101 Firefox/34.0,0,0,548.678,0,7.009,62.699,89.733,13,1,,1,,1,,,she was giving an explanation to person B,she was just listening,4.967,30.456,32.102,8,3,3,5,3,4,3,6.736,19.884,20.312,4,1,2,2,5.438,37.145,37.977,10,4,4,4,,4,4,4,,4,5,,3,,,,,,,1.349,7.343,9.083,3,1,2,1,35.69610596,51.4230957
R_3sytRJOB0BS1yyO,bigsmall,main,138.49.1.27,9/14/2015 18:59,9/14/2015 19:05,7689happy,Chrome,45.0.2454.85,Windows NT 6.3,1920x1080,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,71.533,0,5.797,33.782,85.45,5,1,,1,,1,,,Attentively talking to person B about the campaign ,"Person B first was paying attention to person A, then got distracted and looked at a second computer monitor or something, then became attentive to person A again",6.948,19.443,20.199,6,2,2,5,4,5,3,7.449,18.052,18.544,5,1,2,2,12.214,32.497,33.13,11,2,2,5,,2,3,1,,4,2,,3,,,,,,,12.435,20.098,21.707,3,1,2,2,43.79820251,-91.12860107
R_10ZydjTmslTwZja,bigsmall,main,208.31.49.59,9/14/2015 19:57,9/14/2015 20:03,5100happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,94.182,0,4.904,66.37,67.535,4,1,1,,1,,,,explaining to the girl what she had to do,following instructions,22.536,40.392,40.96,7,5,5,4,3,4,4,8.107,17.675,18.199,3,2,5,3,6.344,24.168,25.002,10,4,4,3,,5,5,1,,2,4,,4,,,,,,,1.085,8.404,9.466,3,1,2,4,40.71429443,-74.0059967
R_3O3pn0I2D01rA0y,bigsmall,main,199.58.164.123,9/14/2015 20:48,9/14/2015 20:52,3783happy,Chrome,45.0.2454.85,Windows NT 6.1,1024x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",40.331,40.331,85.226,1,5.297,20.602,36.031,3,1,1,1,,,,,chat online,view distracted,4.651,12.66,13.927,8,4,4,4,4,4,2,3.84,12.476,14.084,4,4,2,4,3.596,13.065,14.062,9,4,4,4,,3,3,3,,4,4,,4,,,,,,,1.635,11.976,13.321,4,1,3,3,32.80729675,-117.1324005
R_1OnTAZoJ4CC9P2R,bigsmall,main,73.15.150.221,9/14/2015 20:50,9/14/2015 20:57,7812happy,Chrome,45.0.2454.85,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,86.748,0,29.38,70.257,26.476,5,1,,1,,1,,,Sitting and talking,Listening and talking,9.865,37.49,41.273,6,4,5,1,1,5,5,19.612,25.382,27.782,3,4,5,5,22.421,58.115,60.347,9,5,4,3,,4,4,3,,3,4,,4,,,,,,,6.899,30.894,37.306,3,1,5,7,37.42500305,-121.9459991
R_Zk5lKKo4MXJaZxL,bigsmall,main,99.72.214.24,9/14/2015 20:45,9/14/2015 20:58,6127happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",55.011,55.011,176.263,1,7.134,117.095,167.786,13,1,,1,,1,,,She wants the opinion of the person B about some ads location for marketing,She is listening to the person A instructions.,20.325,97.711,100.635,10,3,3,5,5,5,3,13.294,22.718,24.969,4,4,3,5,9.102,35.257,38.615,10,1,4,4,,2,4,4,,4,2,,4,,,,,,,1.868,11.616,13.526,4,1,2,2,39.03799438,-95.72779846
