ResponseID,Interface,Webcam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocaitonCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,chatting with a friend.,focusing on the document person A is talking about.,looking at a document for another project.,AvgWork,AvgPersonal,AvgMeetin,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#","When person B switched to her second monitor, another webcam was used to record person B.",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,"How often do you use video conferencing tools? For example, Skype, FaceTime, Google Hangouts etc.","This is the end of the survey, thank you for your participation.   Your unique code is: ...",LocationLatitude,LocationLongitude
R_2bNaa6iq44CnW99,sidebyside,switch,69.115.221.153,9/8/2015 16:30,9/8/2015 16:34,3255happy,Chrome,44.0.2403.156,CrOS armv7l 7077.134.0,1366x768,"Mozilla/5.0 (X11; CrOS armv7l 7077.134.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.156 Safari/537.36",0,0,64.406,0,4.513,29.019,44.247,4,1,1,1,,,,,Person A was just talking about where to build stuff.,Person B kept changing cameras. ,3.694,20.183,21.096,8,1,1,4,2,4,1,7.47,10.11,11.811,3,2,2,2,10.556,27.083,28.223,10,3,5,5,2,3,3,3,2,4,,,,6.43,14.686,15.604,2,1,It was very obvious,2,1.245,8.178,12.704,3,2,2,4,1,40.87690735,-74.14330292
R_3KDvlHmjxGjsWRs,sidebyside,switch,69.60.121.29,9/8/2015 16:18,9/8/2015 16:35,2273happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x800,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",5.279,68.121,169.2,2,13.059,155.244,166.341,9,1,,1,,1,,,person A is the manager,person B in an employee,10.149,39.597,40.659,7,3,3,1,4,3,3,12.742,24.045,25.181,3,4,4,4,4.251,244.069,246.177,14,4,3,3,4,4,2,2,4,4,,,,1.94,69.556,306.491,5,1,don't need for this ,2,4.323,19.918,21.907,5,1,3,4,1,25.78289795,-80.13580322
R_3G3ezquGqk5DI2I,sidebyside,switch,184.154.18.222,9/8/2015 16:35,9/8/2015 16:39,8938happy,Chrome,45.0.2454.85,Windows NT 6.1,1920x1080,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,72.66,0,3.457,17.655,23.951,5,,1,1,,,1,,yes,no,2.352,6.337,6.979,5,1,2,3,2,4,5,1.282,4.373,5.133,3,1,3,2,3.556,10.898,11.742,6,1,3,4,2,4,5,3,1,3,,,,6.922,9.196,11.447,2,1,2,2,2.83,11.02,14.928,3,2,3,1,1,41.88250732,-87.64409637
R_3GxGhf0ux3FPHzn,sidebyside,switch,174.106.115.100,9/8/2015 16:37,9/8/2015 16:40,3083happy,Chrome,45.0.2454.85,Windows NT 6.1,1920x1080,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,66.48,0,3.233,20.714,31.856,5,1,,1,,1,,,"Video conferencing, talking, sending pictures to person B","Video conferencing, talking, receiving and viewing pictures from person A",1.812,5.274,6.088,7,4,4,4,4,4,4,1.574,2.472,3.088,3,4,4,4,2.155,8.277,9.726,9,3,3,3,4,3,3,3,4,3,,,,4.196,22.661,27.236,2,1,the change in positioning and the quality,2,0.981,5.535,6.459,3,1,4,4,1,35.05700684,-79.01470184
R_1mKiZLLguRZdZBl,sidebyside,switch,104.12.74.196,9/8/2015 16:40,9/8/2015 16:45,9959happy,Chrome,45.0.2454.84,Android 4.3,360x640,"Mozilla/5.0 (Linux; Android 4.3; Z777 Build/JLS36C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Mobile Safari/537.36",0,0,83.221,0,4.903,35.529,50.324,5,1,,1,,1,,,She was talking and having a hard time keeping eye contact,Listening and noding but eyes were wondering.,4.179,27.749,28.991,6,3,2,4,4,3,2,8.839,19.789,21.026,3,5,2,4,7.467,30.518,32.02,9,1,5,5,1,5,4,4,1,4,,,,7.894,43.658,46.651,2,1,It was very likely. She was not actually engaging. She seemed preoccupied.,2,1.254,5.625,7.266,3,2,3,2,1,35.37980652,-97.75980377
R_21j3IquBfxeLiBK,sidebyside,switch,192.34.174.34,9/8/2015 16:44,9/8/2015 16:48,6370happy,Chrome,45.0.2454.85,Macintosh,1920x1200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",21.97,21.97,68.015,1,4.855,91.757,93.604,8,1,,1,,1,,,Person A was very hard to hear but from what I could understand they were showing person B locations for the marketing campaign.,Person B was listening to person A talk about locations for the marketing campaign and checked their email on a second monitor.,2.973,14.108,15.193,6,4,4,4,3,4,4,4.822,9.118,10.911,3,4,4,5,12.021,32.468,32.832,13,3,2,1,4,2,1,1,5,2,,,,4.293,36.235,37.274,2,1,It was very obvious as the angle of the camera shifted. I assumed she was viewing a second monitor.,1,0.832,4.865,6.473,3,1,2,2,1,34.32240295,-82.88639832
R_3mmdMMHRM70ymBu,sidebyside,switch,76.122.31.133,9/8/2015 16:41,9/8/2015 16:53,4508happy,Firefox,40,Windows NT 10.0,1536x864,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,163.9,0,7.285,132.556,172.71,8,1,1,,,1,,,Person A was looking at a screen and reading off of it. ,Person B was going from one screen to another responding to person A.,14.493,61.74,64.203,6,4,4,4,2,3,3,26.052,41.499,42.507,3,4,4,4,15.268,56.57,57.863,9,3,4,2,4,3,2,2,4,3,,,,21.274,148.465,150.658,2,1,very odvious. It looked to me  like person B might have had the email brought up on a different screen to use as a reference.,3,3.09,12.139,18.719,3,2,4,1,1,30.28660583,-81.51499939
R_30jedU0qTXDaCCs,sidebyside,switch,108.217.118.98,9/8/2015 16:46,9/8/2015 16:53,7230happy,Chrome,45.0.2454.85,Windows NT 6.0,1280x800,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",9.777,91.091,92.612,2,7.714,39.396,64.484,7,1,,1,,1,,,talking to person b,I think she was doing something on the computer.,18.29,46.98,48.563,6,3,3,4,3,5,3,28.092,40.771,42.026,3,3,3,4,10.692,44.135,45.648,11,4,3,3,4,3,3,3,4,3,,,,19.584,54.787,56.435,2,1,I couldn't really tell.,2,2.401,21.325,22.484,6,2,5,1,1,33.20230103,-84.23059845
R_6YkcFy2sGM4s6yx,sidebyside,switch,209.58.128.139,9/8/2015 16:24,9/8/2015 16:54,1054happy,Chrome,44.0.2403.157,Windows NT 6.1,1024x600,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",0,0,65.791,0,558.808,813.037,817.664,6,1,,1,,1,,,"Person A , it is assigning a task to person B",Person B is listening to person A,4.127,40.716,41.579,8,4,5,4,4,5,4,60.656,93.81,94.289,5,3,3,5,8.169,49.766,53.549,10,4,2,2,5,2,1,2,5,2,,,,5.691,219.414,220.973,5,1,It was pretty obvious,2,1.233,13.167,15.219,3,1,2,4,1,38.79319763,-77.53659821
R_2e3DHpzmir0eTjg,sidebyside,switch,198.23.77.114,9/8/2015 17:00,9/8/2015 17:05,9227happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x1024,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",33.966,33.966,64.294,1,6.415,33.545,41.414,8,1,1,1,1,1,1,,keep talking,keep hearing,7.8,34.516,35.29,6,4,4,4,3,4,4,6.555,16.731,17.38,3,3,4,4,6.645,13.451,14.411,9,4,4,4,4,3,4,4,4,3,,,,11.973,15.75,16.644,2,1,nangha,2,3.257,16.831,18.517,3,1,2,1,1,37.33940125,-121.8950043
