ResponseID,Interface,Webcam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocaitonCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,chatting with a friend.,focusing on the document person A is talking about.,looking at a document for another project.,AvgWork,AvgPersonal,AvgMeetin,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#","When person B switched to her second monitor, another webcam was used to record person B.",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,"How often do you use video conferencing tools? For example, Skype, FaceTime, Google Hangouts etc.","This is the end of the survey, thank you for your participation.   Your unique code is: ...",LocationLatitude,LocationLongitude
R_1Hbe8lO5eUgoReh,sidebyside,switch,72.23.5.90,9/8/2015 17:01,9/8/2015 17:05,9716happy,Firefox,40,Windows NT 6.1,1680x1050,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,18.982,48.025,77.74,3,7.655,30.463,42.177,3,,1,,1,,1,,"I COULD ONLY SEE HER TALKING, I COULD HARDLY HEAR HER",JUST SAYING UM HUM,3.27,15.368,16.141,7,3,3,4,2,4,3,7.746,8.882,9.614,3,4,3,4,5.618,15.706,16.72,10,3,3,3,4,2,3,2,3,3,,,,7.239,12.615,21.321,3,1,VERY OBVIOUS,1,1.333,6.292,8.074,3,1,4,1,1,41.02459717,-80.66970062
R_2AKmK09gkBOMzd8,sidebyside,switch,184.154.18.222,9/8/2015 17:03,9/8/2015 17:05,3724happy,Chrome,45.0.2454.85,Windows NT 6.1,1920x1080,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,60.742,0,0.849,8.175,14.372,6,1,1,,,1,1,,yes,yes,3.551,7.296,7.914,6,1,3,2,4,5,2,0.76,2.163,2.705,3,1,3,2,1.594,9.547,10.659,9,1,5,4,3,5,2,1,5,4,,,,2.834,5.863,6.864,2,1,3,2,1.438,8.814,9.537,6,2,3,7,1,41.88250732,-87.64409637
R_3E9E2ovcml7yeeV,sidebyside,switch,64.251.22.13,9/8/2015 16:38,9/8/2015 17:06,6810happy,MSIE,11,Windows NT 6.1,1670x939,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; rv:11.0) like Gecko,32.337,92.447,96.579,3,14.228,1002.483,1003.875,26,1,,1,,1,,,person A is asking about which is the best marketing option,Person B just listen to the person,58.349,144.956,146.849,7,4,3,4,4,4,3,45.928,108.934,109.936,3,4,4,4,29.197,69.02,69.687,11,3,4,4,3,4,4,4,4,3,,,,57.205,87.02,88.156,4,1,very obvious,2,4.314,24.21,27.019,3,1,2,2,1,26.34829712,-80.15850067
R_2zdSNQ0ewZKtBYK,sidebyside,switch,66.171.228.78,9/8/2015 16:56,9/8/2015 17:07,3101happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x1024,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,99.773,0,42.945,84.341,139.613,4,1,1,,,1,,,"locations, picture,",say yes the question in the marketing campaing,24.259,45.705,46.681,5,4,4,4,3,4,4,21.037,32.089,33.052,3,3,4,3,13.453,38.933,40.309,9,3,4,4,4,3,4,4,4,3,,,,21.309,31.065,66.438,3,1,she look the second monitor in the conversation,2,8.488,22.673,25.518,3,1,2,2,1,33.84030151,-118.3538971
R_3CnDTyVDqvk0BX3,sidebyside,switch,68.231.56.83,9/8/2015 17:06,9/8/2015 17:10,9090happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x1024,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,68.988,0,1.56,37.002,73.438,5,1,,1,,1,,,Person A was describing to person B the different ad locations with related costs,"Person B did not seem to be paying much attention to Person A, in fact at one point she looked away to her computer screen",3.013,14.233,15.761,6,2,2,4,4,5,1,5.85,12.231,13.291,3,4,2,3,6.237,18.615,19.507,10,2,3,3,2,3,3,3,2,3,,,,20.445,21.571,64.022,2,1,It was very obvious as the picture turned completely and it was if person B had turned her body,1,1.657,6.302,7.768,4,1,5,4,1,33.64750671,-112.3883972
R_214xgT6Y6khsE0s,sidebyside,switch,38.95.108.244,9/8/2015 17:06,9/8/2015 17:11,5568happy,Chrome,45.0.2454.85,Windows NT 10.0,2560x1080,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",50.73,62.706,74.4,3,4.753,43.874,44.584,8,1,,1,,1,,,least expensive,"mhhm, yes",6.775,29.205,30.061,6,4,4,2,1,5,4,17.82,30.332,31.04,3,3,3,4,5.239,32.948,33.975,12,2,4,3,5,2,2,3,4,4,,,,8.9,32.932,36.025,2,1,It was vey obvious and the mic quality was alot better,1,1.434,6.649,7.527,4,1,2,4,1,34.05220032,-118.2436981
R_28zwJqgTKLBkEgN,sidebyside,switch,68.57.118.32,9/8/2015 17:07,9/8/2015 17:13,3603happy,Chrome,45.0.2454.85,Windows NT 5.1,1280x1024,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,66.659,0,5.314,43.494,71.25,6,1,,1,,1,,,Person A was looking into the camera.,Person B was looking at other things. They also were turning,8.369,33.623,38.784,7,2,3,4,5,5,1,17.486,29.504,31.079,4,1,1,4,11.717,43.03,45.162,9,4,3,3,2,3,1,1,2,4,,,,10.093,50.998,54.982,2,1,It was very obvious. You could see the turn in the camera,1,1.84,7.941,10.863,3,2,4,1,1,36.31340027,-82.35350037
R_Of0g1lDVRJRn6mt,sidebyside,switch,54.66.185.187,9/8/2015 17:05,9/8/2015 17:13,9419happy,Firefox,40,Windows NT 6.1,1280x720,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,3.985,79.519,82.204,5,2.945,122.884,123.747,19,,1,,1,,1,,To meet this video,yes i go,3.063,26.167,26.88,10,2,3,3,4,2,5,5.678,9.765,11.047,7,4,3,3,3.603,16.675,18.35,11,2,3,3,2,2,2,1,2,2,,,,2.488,74.6,76.175,8,1,Approved professional person,3,3.204,38.713,39.54,11,1,2,2,1,-33.86149597,151.2055054
R_273QV3Fn6ppRCef,sidebyside,switch,108.14.176.16,9/8/2015 17:10,9/8/2015 17:14,9150happy,Firefox,40,Windows NT 6.3,1600x900,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,30.34,34.533,79.887,2,2.03,22.211,31.47,8,1,,1,,1,,,offering a proposal,considering ideas,2.606,11.581,12.216,6,4,4,2,2,4,3,4.595,6.882,7.396,3,3,3,3,11.021,23.103,24.937,11,2,2,2,4,2,2,2,3,3,,,,4.717,5.765,15.859,2,1,Very.,1,0.865,3.889,4.714,3,2,2,1,1,40.73539734,-73.87830353
R_WcXwaYvX9SbG1od,sidebyside,switch,54.66.185.187,9/8/2015 17:19,9/8/2015 17:22,3086happy,Firefox,40,Windows NT 6.1,1280x720,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,3.347,43.762,61.665,11,2.434,20.233,21.258,12,1,,,1,,1,,Methods of using video conferencing,Methods of using video conferencing,1.562,7.114,8.1,7,1,2,5,1,2,2,1.026,2.364,4.548,3,1,2,1,1.604,10.884,11.806,13,1,2,2,2,3,3,3,4,4,,,,1.324,6.454,7.11,3,1,Methods of using video conferencing,3,1.863,9.27,10.21,6,1,2,2,1,-33.86149597,151.2055054
R_2Y4lnHObycYMm0m,sidebyside,switch,70.190.30.211,9/8/2015 17:19,9/8/2015 17:24,8223happy,Chrome,45.0.2454.84,Android 5.0.1,360x640,"Mozilla/5.0 (Linux; Android 5.0.1; SCH-I545 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Mobile Safari/537.36",0,0,81.355,0,0.704,3.646,5.29,3,1,,1,,1,,,Talking,Listening checking email,3.776,18.564,20.396,6,4,4,4,3,5,4,13.474,19.362,20.795,3,2,4,4,5.011,26.494,27.95,9,3,1,1,5,2,1,1,4,2,,,,15.981,48.853,52.521,2,1,The angle from which she was being filmed changed,1,1.025,7.965,9.611,3,1,4,3,1,33.32009888,-111.8739014
R_1mUh0fI2mZP54bo,sidebyside,switch,98.30.171.237,9/8/2015 17:21,9/8/2015 17:26,3225happy,Chrome,45.0.2454.85,Windows NT 6.0,1680x1050,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,73.786,0,5.621,29.77,59.337,8,1,,1,,1,,,Made eye contact the whole time. Trying to explain the options available for the ad.,"Seemed distracted, not sure what she was switching cameras for.",5.548,17.681,18.731,6,2,2,5,4,5,2,8.667,17.352,18.102,4,1,2,1,8.643,31.278,32.194,10,2,4,4,2,2,2,2,2,3,,,,11.08,28.631,32.776,2,1,"very abrupt changes, very obvious",2,10.165,16.148,17.707,3,1,4,3,1,41.46150208,-84.55310059
R_2e9la6jugssV0Mu,sidebyside,switch,54.148.44.119,9/8/2015 17:23,9/8/2015 17:26,3045happy,Firefox,40,Windows NT 6.1,1280x720,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,2.268,44.261,61.613,5,1.362,7.666,10.855,6,,1,1,1,,,,We thank you for your time spent taking this survey. Your response has been recorded. ,We thank you for your time spent taking this survey. Your response has been recorded. ,1.208,3.928,8.035,6,1,3,3,3,3,3,1.236,2.556,3.982,3,1,2,2,1.71,11.63,12.567,13,3,2,3,3,1,3,3,4,5,,,,1.948,34.028,34.676,5,1,video conference,3,1.782,6.471,7.209,5,1,2,2,1,45.83990479,-119.7005997
R_3smJZZT2BdkX8tF,sidebyside,switch,71.60.144.79,9/8/2015 17:25,9/8/2015 17:29,8572happy,Firefox,40,Windows NT 6.3,1366x768,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,3.244,13.779,62.347,3,2.19,15.702,31.176,6,1,,1,,1,,,describing locations,seemed distracted but still listening,1.229,20.357,21.721,7,4,2,4,4,4,2,6.867,11.441,12.217,3,3,2,4,3.803,29.332,30.371,13,2,4,4,2,3,4,4,3,3,,,,24.931,35.655,37.328,3,1,the angle was very different,1,1.632,5.508,7.188,4,2,3,2,1,40.47009277,-79.20359802
R_33yAuv4nMbxLQ4y,sidebyside,switch,207.225.131.141,9/8/2015 17:26,9/8/2015 17:31,4168happy,Firefox,40,Windows NT 6.1,1024x768,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,1.513,74.82,80.749,4,3.396,69.937,90.404,12,1,,1,,1,,, A Was the leader.Describing locations for new ad campaign.,Listening to A talk and describe ad locations. Also looking at something (perhaps a map.),4.161,21.336,22.012,9,5,5,3,3,5,4,6.397,11.14,11.936,3,5,5,4,5.2,29.03,29.694,12,5,2,2,5,2,1,1,5,2,,,,6.553,40.495,41.841,3,1,The camera view swithcing was obvious.,1,1.286,11.446,12.159,6,1,5,2,1,45.01019287,-93.34279633
R_2yqL5CrtLr9PQTr,sidebyside,switch,75.191.234.32,9/8/2015 17:35,9/8/2015 17:40,1080happy,Chrome,44.0.2403.157,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",23.731,40.25,86.371,4,6.239,60.154,62.277,8,1,1,1,,,,,Looking straight into the camera talking to person B.  Person A was really hard to hear in comparison to person B.,"Looking in the camera from two different view points and saying ""umhmm"" in response to person A.  ",3.721,23.213,24.601,7,3,2,5,4,5,3,6.36,13.867,18.066,3,2,2,1,6.708,22.104,24.434,10,4,4,4,5,4,2,2,5,5,,,,7.816,35.524,36.062,5,1,It was very obvious.  When her head would turn you could see her right away from the new angle,3,1.406,6.393,8.678,3,2,3,2,1,34.79840088,-77.35919952
R_3fNzAF3ms2U3moV,sidebyside,switch,65.60.51.3,9/8/2015 17:38,9/8/2015 17:40,5189happy,Firefox,40,Windows NT 6.1,1280x720,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,5.569,62.562,63.228,2,1.207,14.961,19.174,7,,1,1,1,,,,video conference,yes video conference,1.695,8.047,8.879,9,3,4,1,3,3,3,1.829,8.661,9.975,7,4,5,4,1.919,11.578,12.616,10,2,1,3,5,4,4,3,3,2,,,,1.877,15.81,18.928,6,1,yes very good,2,1.823,6.919,7.716,5,1,2,2,1,41.88250732,-87.64409637
R_3fUbqoCgQF5XdZ5,sidebyside,switch,107.147.80.169,9/8/2015 17:39,9/8/2015 17:42,3438happy,Chrome,45.0.2454.85,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,65.035,0,3.734,18.611,27.63,3,1,,1,,,1,,Basically just talking to person B,Mainly just answering person A,5.837,16.485,18.064,6,5,5,4,4,5,5,6.537,9.736,10.494,3,5,5,5,6.933,25.002,25.853,11,1,1,1,5,1,1,1,5,1,,,,8.115,17.1,18.122,2,1,Not very obvious,2,1.595,6.715,8.467,4,2,4,2,1,39.87249756,-86.38259888
R_3MATghPgnenYWuU,sidebyside,switch,198.7.59.110,9/8/2015 17:32,9/8/2015 17:43,3660happy,Chrome,46.0.2490.13,Windows NT 6.1,1024x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.13 Safari/537.36",43.126,43.126,69.378,1,83.767,328.179,330.646,17,,,1,1,1,,,he told person B an place with un image,he is loking for locations for of the marketing campaign has been discussed whit person A,7.695,75.701,76.461,7,4,4,4,5,3,4,14.494,26.412,26.83,4,3,4,4,3.774,50.341,50.861,14,4,4,2,4,3,2,2,4,4,,,,17.119,56.56,57.558,8,1,quality webcam,2,1.558,12.139,13.647,3,1,2,2,1,38.79319763,-77.53659821
R_232H4wD6Rko8bJI,sidebyside,switch,54.148.44.119,9/8/2015 17:42,9/8/2015 17:44,7738happy,Firefox,40,Windows NT 6.1,1280x720,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,1.625,55.217,61.82,2,1.065,12.673,13.575,10,,1,,1,1,,,We thank you for your time spent taking this survey. Your response has been recorded. ,yes,1.804,4.448,5.227,6,1,2,3,3,3,3,1.3,3.442,4.275,4,4,3,3,3.424,12.008,12.832,14,4,4,5,5,5,5,5,5,5,,,,1.279,14.899,15.861,3,1,yes  very good,2,1.479,9.671,10.456,5,1,2,5,1,45.83990479,-119.7005997
R_2Es0d0cc6lYwSfk,sidebyside,switch,24.160.187.210,9/8/2015 17:41,9/8/2015 17:46,4307happy,MSIE,11,Windows NT 6.3,1366x768,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; GWX:DOWNLOADED; rv:11.0) like Gecko,2.634,63.088,64.51,4,1.176,18.181,34.401,8,1,,1,,1,,,i seen her talking to person b,i saw her moving back and forth bewteen cameras,5.283,30.675,32.185,6,1,1,5,5,5,1,12.257,22.69,24.51,3,1,1,1,4.285,32.592,33.95,11,5,5,5,3,5,4,4,3,3,,,,5.209,32.467,33.864,6,1,very obvious she moved her whole body switching cameras,3,2.055,12.054,13.851,5,2,2,2,1,39.02450562,-82.62120056
R_3HwAZqq2DBsKTqa,sidebyside,switch,207.244.82.148,9/8/2015 17:45,9/8/2015 17:49,3466happy,Chrome,45.0.2454.85,Windows NT 6.1,1280x720,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",2.654,71.052,71.962,4,15.265,49.804,50.436,11,,1,1,1,,,,is a little shy,is very crazy,2.597,6.818,7.506,7,2,4,2,3,4,3,1.074,2.505,3.572,4,3,3,3,2.463,11.642,11.976,12,2,3,4,3,2,3,3,3,4,,,,1.326,22.065,32.926,5,1,i dont kwon,3,1.141,8.297,9.273,5,1,2,1,1,38.79319763,-77.53659821
R_1JRTcPpnA0XFRmC,sidebyside,switch,73.141.61.106,9/8/2015 17:45,9/8/2015 17:49,4940happy,Chrome,45.0.2454.85,Windows NT 6.1,1600x900,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",7.1,7.1,69.394,1,9.088,48.292,79.116,6,1,,1,,1,,,Person A was talking about plans for a marketing campaign. She was doing all of the talking in this video.,"Person B was mostly listening and making ""uh huh"" sounds. At the same time, she kept shifting the camera to different angles for some reason. ",5.619,13.698,14.705,6,3,3,5,4,4,2,7.405,12.957,13.71,4,3,2,2,8.132,23.744,24.709,10,3,4,4,2,3,3,3,2,3,,,,5.898,45.64,46.694,2,1,It was obvious that different webcams were being used because the angle kept changing. It was very jarring. ,3,1.027,6.704,7.897,3,1,3,4,1,39.93240356,-75.34069824
R_3R3f0GPaFvlQLUs,sidebyside,switch,135.26.13.171,9/8/2015 17:56,9/8/2015 18:01,4997happy,Firefox,40,Windows NT 10.0,1366x768,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,6.887,78.544,79.501,3,1.433,41.007,42.194,6,1,,1,,1,,,Presenting information,Listening to presented information most of the time,5.925,25.344,26.61,6,3,4,2,3,4,3,5.345,26.557,27.802,3,4,3,2,7.173,40.71,41.828,12,2,3,3,4,2,3,1,4,3,,,,12.662,47.172,49.373,3,1,I could see the change when it happened,2,1.951,9.262,10.4,5,2,2,6,1,31.2671051,-94.646698
R_XRnwSzubo58jRrr,sidebyside,switch,67.141.17.37,9/8/2015 17:54,9/8/2015 18:03,9123happy,Firefox,40,Windows NT 6.3,1366x768,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,95.549,96.093,98.245,6,7.099,35.71,51.628,14,1,,1,,1,,,talking ,she was moving and it was strange,7.626,21.156,22.947,6,2,3,5,2,5,5,4.914,9.277,10.555,4,4,4,4,20.345,45.914,46.994,22,2,3,3,4,4,2,2,4,2,,,,34.123,38.774,40.129,3,1,very,3,8.773,27.359,30.801,24,2,4,6,1,37.57420349,-84.26999664
R_2q4KXuKCoUkJTSQ,sidebyside,switch,50.166.199.133,9/8/2015 18:04,9/8/2015 18:08,6448happy,Chrome,45.0.2454.85,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",4.953,64.8,65.24,6,12.748,68.397,71.151,6,1,,1,,1,,,she talking same qustaion ,she answer,1.526,4.253,5,6,2,3,3,2,4,5,1.09,1.778,2.721,3,2,3,4,5.967,12.872,13.693,13,2,3,3,2,3,4,5,2,2,,,,14.227,19.163,27.369,3,1,is so good,2,3.103,9.785,10.729,6,1,2,2,1,39.9571991,-74.91619873
R_OeVGM5nvxySj3Rn,sidebyside,switch,24.206.203.72,9/8/2015 18:10,9/8/2015 18:15,2450happy,Chrome,45.0.2454.85,Windows NT 6.2,1440x900,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",20.836,20.836,63.79,1,1.841,9.482,73.869,4,1,,1,,1,,,explaining to person B where there add could go,agreeing and looking at a a-mail,2.764,16.039,17.005,6,5,5,5,5,5,5,3.354,8.578,11.288,3,5,5,5,6.593,33.436,34.52,11,5,5,3,5,5,3,3,5,3,,,,15.491,41.593,42.84,2,1,it switch ,1,1.733,10.848,11.664,5,2,5,7,1,32.22590637,-95.38829803
R_3iJaAzvvKWdUrgi,sidebyside,switch,108.59.11.201,9/8/2015 18:10,9/8/2015 18:16,7177happy,Chrome,45.0.2454.85,Windows NT 5.1,1152x864,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,81.54,0,9.649,81.122,82.953,11,1,1,1,1,1,1,,the person speaking is good,Person B is very quiet on the issue,0.95,4.745,5.675,7,1,1,1,1,1,1,4.091,6.545,7.274,4,1,2,1,2.714,10.675,11.728,11,3,3,3,3,3,3,3,3,3,,,,2.585,104.363,105.568,10,1,la persona b fue grabada con una sola webcam,1,1.605,5.876,7.24,3,1,2,4,1,39.67340088,-75.7052002
R_12LxNikXrgrnEHu,sidebyside,switch,12.105.120.242,9/8/2015 18:09,9/8/2015 18:17,7066happy,Chrome,44.0.2403.157,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",0,0,136.954,0,11.959,72.418,130.272,6,1,,1,,1,,,"Person A was describing three possible locations for advertising. She was descriptive, business-like, and focused.","Person B was listening to Person A describe possible locations for advertising. She appeared to be fidgeting, unfocused, and possibly somewhat annoyed. ",4.646,18.031,18.973,6,2,2,5,3,5,1,8.478,14.356,15.509,3,3,2,2,6.889,28.264,31.093,9,2,3,3,1,2,2,2,1,3,,,,5.237,71.219,72.397,2,1,"When Person B turned her head away from the first screen, the background changed, making it obvious that there was a second webcam. If the first webcam had been moved, a sweeping view of the background would have been shown; this was not the case.",2,1.695,7.379,9.499,4,2,2,1,1,38.63529968,-90.66729736
R_2YPoCum0A2cZ6CV,sidebyside,switch,199.120.116.193,9/8/2015 18:12,9/8/2015 18:18,9603happy,Firefox,40,Windows NT 6.3,1600x900,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,6.873,62.798,69.195,3,8.477,46.572,74.219,5,1,,1,,1,,,She was sitting at her desk. She was video chatting with person B. She was talking about a marketing campaign.,Person B was sitting at her desk. She was video chatting. She was listening to person a.,6.194,41.898,43.289,6,3,4,4,2,4,3,11.675,23.031,23.893,3,3,4,4,9.436,27.141,28.16,10,4,3,2,4,2,2,2,4,4,,,,12.027,34.956,36.333,2,1,It was completely obvious. It jumped from one camera view to the next.,2,1.266,8.863,10.218,5,2,3,2,1,41.38299561,-95.71829987
R_1mkkCazYbotQVhj,sidebyside,switch,72.95.224.89,9/8/2015 18:19,9/8/2015 18:23,6735happy,Firefox,40,Windows NT 6.3,1920x1080,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,70.09,0,5.491,24.052,33.389,4,1,1,1,,,,,Talking about location for ad,looking at her screen,3.632,14.448,15.288,6,4,4,3,3,4,4,11.37,19.794,20.768,3,3,4,4,6.867,21.811,22.757,9,4,2,2,5,2,2,2,5,2,,,,11.83,22.79,23.687,2,1,i was not sure,2,1.485,5.087,7.87,3,2,5,1,1,40.3690033,-80.04570007
R_TwnhDnnO6dN9EB3,sidebyside,switch,96.250.81.151,9/8/2015 18:20,9/8/2015 18:27,2991happy,Chrome,45.0.2454.85,Windows NT 6.3,1920x1080,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,153.375,0,5.68,50.583,81.168,6,1,,1,,1,,,speaking about advertising,"listening, switching camera views",10.076,30.404,32.084,6,5,5,3,2,4,4,16.936,21.812,23.207,3,4,4,4,11.754,39.697,41.48,10,4,4,4,4,4,2,2,4,3,,,,11.589,35.961,38.766,2,1,"very, isaw the view switch",1,2.467,9.932,12.411,3,1,4,2,1,40.67260742,-73.53639984
R_DpcxgsSyECbuqk1,sidebyside,switch,71.194.247.192,9/8/2015 18:15,9/8/2015 18:27,2334happy,Chrome,44.0.2403.157,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",11.519,145.038,148.46,2,6.652,182.353,184.419,16,1,,1,,1,,,She was giving some tasks to person B with plenty of details on where the locations are for their marketing campaign,She was just listening and paying attention on what to do to run their marketing campaign and was checking on on her computer,13.254,65.588,66.737,7,4,5,2,2,3,4,12.262,29.675,30.967,3,3,4,4,23.706,85.828,86.974,12,2,2,2,5,3,2,2,5,2,,,,23.033,100.681,102.425,4,1,"It wasn't notorious to me, but just because here it is mentioned i know, otherwise  woudln't notice that",2,2.436,34.633,36.023,6,1,4,2,1,41.92880249,-87.63150024
R_1joAJvvOVaFITrs,sidebyside,switch,162.229.106.229,9/8/2015 18:27,9/8/2015 18:31,5090happy,Firefox,40,Windows NT 6.1,1680x1050,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,75.199,0,3.456,7.716,36.133,3,1,,,,1,1,,Looking at the camera talking.,They kept looking from front to side.,3.523,18.762,19.595,8,1,1,4,2,5,2,10.303,17.701,18.351,3,2,2,4,4.91,33.866,35.157,10,1,4,4,2,3,1,1,4,4,,,,4.869,39.081,39.778,3,1,It would show her turned to the side and the angle was different.,4,1.232,5.402,6.443,3,2,4,1,1,42.085495,-87.8246994
R_30o8ceuXu7y45w8,sidebyside,switch,50.166.199.133,9/8/2015 18:42,9/8/2015 18:47,8292happy,Chrome,45.0.2454.85,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",3.405,99.609,100.739,2,6.179,9.345,12.125,4,,,1,1,,1,,she qustiosn ,she answer,1.842,4.805,5.293,7,5,4,4,5,3,4,0.629,1.956,2.538,4,2,3,4,1.365,7.371,8.582,10,1,2,3,3,3,2,4,3,4,,,,88.359,90.716,100.881,3,1,is so good,4,1.665,7.309,7.943,7,1,2,1,1,39.9571991,-74.91619873
