ResponseID,Interface,Webcam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click 2,Timing-Last Click 2,"Timing-#QuestionText, TimingPageSubmit# 2","Timing-#QuestionText, TimingClickCount# 2",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocationCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click 3,Timing-Last Click 3,"Timing-#QuestionText, TimingPageSubmit# 3","Timing-#QuestionText, TimingClickCount# 3",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click 4,Timing-Last Click 4,"Timing-#QuestionText, TimingPageSubmit# 4","Timing-#QuestionText, TimingClickCount# 4",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click 5,Timing-Last Click 5,"Timing-#QuestionText, TimingPageSubmit# 5","Timing-#QuestionText, TimingClickCount# 5",looking at a document for another project.,reading a work-related email from another co-worker.,chatting with another co-worker.,AvgWork,browsing Facebook.,chatting with a friend.,reading a personal email.,AvgPersonal,focusing on the document person A is talking about.,searching for other locations for the advertising campaign.,AvgMeeting,listening to person A.,MostLikelyActivity,Timing-First Click 6,Timing-Last Click 6,"Timing-#QuestionText, TimingPageSubmit# 6","Timing-#QuestionText, TimingClickCount# 6",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click 7,Timing-Last Click 7,"Timing-#QuestionText, TimingPageSubmit# 7","Timing-#QuestionText, TimingClickCount# 7",Gender,What is your age?,VCExperience,LocationLatitude,LocationLongitude,RepeatAnswer,TotalTimer,Mahal. Distance,MeetingNotMeeting,MultitaskenNotMultitasken
R_3sBtcjbeDRwPFtS,sidebyside,switch,108.59.8.218,09/08/2015 7:54 PM,09/08/2015 8:04 PM,2413happy,Chrome,45.0.2454.85,Windows NT 6.1,1024x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",3.248,3.248,75.711,1,4.47,69.031,70.405,10,1,0,1,0,1,0,3,She was talking,She was talking,2.898,91.635,92.584,8,4,4,2,2,4,4,27.788,54.661,58.473,7,5,2,4,61.778,113.124,113.715,14,2,1,2,1.66666667,1,2,5,2.66666667,4,1,2.5,2,Meeting,9.247,98.499,100.184,4,Only one time,1,2.832,13.867,16.011,3,1,2,5,39.6734009,-75.7052,NotRepeat,229.31,notoutlier,Meeting,Multitasken
R_2wNYv7dtL0dr3Zs,sidebyside,switch,108.128.192.142,09/08/2015 9:02 PM,09/08/2015 9:06 PM,6196happy,Chrome,45.0.2454.85,Windows NT 6.3,1680x1050,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",57.367,57.367,63.109,1,6.467,10.194,43.287,4,1,0,1,0,1,0,3,person a was giving information but was not talking loud enough for me to hear properly,person b was taking in the information and processing the information given,3.499,21.57,22.43,8,4,4,5,3,4,3,4.953,15.853,16.219,5,4,3,4,6.051,24.198,25.085,12,2,4,2,2.66666667,2,2,2,2,5,4,4.5,4,Meeting,1.51,37.245,38.556,4,the angle changed as well as the quaility,2,2.168,5.383,6.945,3,1,2,2,33.9790955,-84.149399,NotRepeat,59.46,notoutlier,Meeting,Multitasken
R_31QLxL63xsYyS3n,sidebyside,switch,216.189.142.11,09/09/2015 2:18 AM,09/09/2015 2:23 AM,3722happy,Firefox,40,Windows NT 6.3,1366x768,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,66.107,0,8.256,14.259,70.005,4,1,0,1,0,1,0,3,Person A was discussing the location of the meetings with person b. She was looking at her webcam while she was talking,Person B was listening to Person A. And was also looking at her webcam,5.27,21.872,22.408,8,4,3,4,4,4,2,11.653,19.587,20.902,4,2,2,2,11.018,32.865,33.899,10,3,3,2,2.66666667,3,2,3,2.66666667,2,2,2,3,Meeting/Work,2.06,33.485,34.417,3,The screen changed views and It was obvious. The stuff in the background was different,4,1.375,4.631,6.525,3,1,2,1,46.746994,-95.095398,NotRepeat,66.832,notoutlier,NotMeeting,Multitasken
R_3PSqKBVuzdmR7bc,sidebyside,switch,162.243.58.121,09/08/2015 4:35 PM,09/08/2015 4:42 PM,9839happy,Firefox,40,Windows NT 6.3,1280x800,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,19.363,69.306,74.088,2,7.528,33.052,48.865,6,1,0,0,-1,1,0,1,she was explainning the locations,she was carefully listen the person A,4.499,19.547,20.496,6,4,4,1,1,4,4,16.604,22.883,23.301,4,3,4,4,9.864,34.667,37.307,10,1,4,1,2,1,1,2,1.33333333,4,4,4,4,Meeting,14.388,26.132,28.464,2,pretty obvious,2,1.01,9.728,10.201,4,1,3,7,,,NotRepeat,72.004,notoutlier,Meeting,Multitasken
R_DVktA87SwYFrYJP,sidebyside,switch,71.168.200.72,09/08/2015 5:37 PM,09/08/2015 6:06 PM,9438happy,Chrome,45.0.2454.85,Windows NT 5.1,1024x768,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",4.704,133.565,134.944,2,13.33,160.541,163.49,13,1,0,1,0,1,-1,2,A-she was talking and setting the locations that were going to be targeted.,B was listing intently to what A was saying.I did not see her talking notes or writing anything down,9.873,30.285,36.419,6,5,5,3,3,5,5,60.011,68.49,70.133,3,4,4,4,5.817,43.244,45.281,12,3,4,2,3,3,2,4,3,3,2,2.5,4,Meeting/Work,17.488,395.604,508.454,26,She kept looking to her RIGHT at something--another monitor- and .A bell went off and she looked intently keeping track of what was going on there and then her eyes flickered badk and forth without moving her head --SO I PUT 4 DOWN BELOW--ALSO I BELIEVE MY ANSWERS TO THE 3 DESTINATIONS--I BELIEVE  MY PS JUMPED FROM bASEBALL--TO ANOTHER-SORRY,4,2.148,18.451,20.346,6,1,5,4,,,NotRepeat,105.046,notoutlier,NotMeeting,Multitasken
R_29fVyntt7WedkjT,sidebyside,switch,76.177.247.4,09/08/2015 7:19 PM,09/08/2015 7:29 PM,5757happy,Firefox,40,Windows NT 6.1,1366x768,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,2.367,88.977,90.115,2,1.402,5.889,27.638,5,1,0,1,0,1,0,3,she was doing most of the talking about where to put adds,she was listening to person a,5.803,13.72,15.073,6,3,3,4,2,5,2,8.156,11.504,13.24,3,2,2,4,46.666,64.367,65.519,13,2,3,1,2,4,1,4,3,2,2,2,2,Meeting/Work,11.173,25.01,26.6,2,the lighting changed as did the angle,1,1.536,13.861,14.988,8,2,3,3,,,NotRepeat,98.58,notoutlier,NotMeeting,Multitasken
R_yDYFDxzFps7G7UR,sidebyside,main,204.210.191.249,09/08/2015 4:15 PM,09/08/2015 4:20 PM,3391happy,Chrome,45.0.2454.85,Windows NT 10.0,1280x720,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,68.617,0,1.361,43.966,46.31,6,1,0,1,0,1,0,3,Talking and what appeared to be reading,Listening and reviewing emails,3.878,28.892,30.227,6,3,3,4,2,4,2,5.817,25.302,27.167,4,3,2,2,6.411,41.207,44.041,10,4,3,3,3.33333333,2,3,4,3,4,3,3.5,3,Meeting,,,,,,,1.098,11.703,15.907,3,1,4,3,41.0299072,-81.3367,NotRepeat,94.175,notoutlier,Meeting,Multitasken
R_1r8tSTOzyltVkZj,sidebyside,main,146.209.159.16,09/08/2015 4:29 PM,09/08/2015 4:33 PM,5067happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",2.151,70.771,71.808,3,3.615,19.461,25.532,6,1,0,1,0,1,0,3,Talking about what they were going to be doing,Not really paying attention,2.873,20.515,21.357,8,5,2,2,3,5,1,18.657,25.692,26.842,3,2,1,4,5.057,23.596,24.458,13,4,4,4,4,4,4,4,4,4,3,3.5,2,Meeting/Work,,,,,,,1.413,11.769,12.662,7,2,2,4,37.6921997,-97.337502,NotRepeat,61.477,notoutlier,NotMeeting,Multitasken
R_74ojmh8T6EEkMzX,sidebyside,main,179.43.203.190,09/08/2015 4:28 PM,09/08/2015 4:39 PM,8667happy,Firefox,40,Windows NT 6.1,1280x800,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,56.934,59.913,61.358,5,2.971,8.432,33.665,4,1,0,1,0,1,0,3,Asking some question about ad locations,Trying to listen to person A,1.192,9.403,10.432,6,4,4,5,4,4,4,1.843,4.492,5.644,3,4,4,4,0.753,31.378,32.243,14,4,4,4,4,3,2,3,2.66666667,5,3,4,5,Work,,,,,,,1.448,4.621,6.107,3,1,3,2,41.6929016,-111.8147,NotRepeat,51.782,notoutlier,NotMeeting,Multitasken
R_3pmMr5uvaRXi5nF,sidebyside,main,38.75.37.86,09/08/2015 4:44 PM,09/08/2015 4:48 PM,6432happy,Chrome,44.0.2403.155,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",0,0,72.215,0,3.997,19.351,28.694,5,1,0,0,0,1,-1,1,talking,looking distracted,7.207,31.546,32.741,7,2,2,5,4,5,2,17.826,24.908,28.572,3,4,2,4,10.491,45.157,46.717,10,3,4,4,3.66666667,4,4,4,4,3,4,3.5,3,Meeting/Work,,,,,,,1.764,13.548,15.798,3,1,4,2,34.4277039,-117.4821,NotRepeat,98.256,notoutlier,NotMeeting,Multitasken
